Field,Value
Title,CIMIS Weather Station Data
URL,cimis-weather-station-data1
Description,"Weather Data collected by CIMIS automatic weather stations. The data is available in CSV format. Station data include measured parameters such as solar radiation, air temperature, soil temperature, relative humidity, precipitation, wind speed and wind direction as well as derived parameters such as vapor pressure, dew point temperature, and grass reference evapotranspiration (ETo)."
Tags,"california department of water resources,cimis,reference evapotranspiration,weather data"
License,
Topic,
Organization,California Department of Water Resources
Public Access Level,Public
Rights,No restrictions on public use
Program Contact Name,DWR CIMIS Public Contact
Program Contact Email,DWRCIMISPublicContact@water.ca.gov
Author,
Homepage URL,
Frequency,Daily
Temporal Coverage,From 1982 up to date
Granularity,
Geographic Coverage Location,
Spatial,
Data Standard,
Language,
Source Link,https://cimis.water.ca.gov
Additional Information,
Related Resources,
Secondary Sources,
Citation,
